,match,GK Difference,FW Difference,MF Difference,DF Difference,backup Difference,GK^2 Difference,GK FW Difference,GK MF Difference,GK DF Difference,GK backup Difference,FW^2 Difference,FW MF Difference,FW DF Difference,FW backup Difference,MF^2 Difference,MF DF Difference,MF backup Difference,DF^2 Difference,DF backup Difference,backup^2 Difference,Year,Winner
10,Italy-Paraguay,11.0,4.851851851851848,3.25,8.666666666666671,0.8194444444444571,18.15,12.132592592592594,10.752499999999998,15.913333333333341,8.046805555555565,7.171755829903979,5.962037037037035,10.270617283950628,3.8567078189300403,4.769374999999997,8.948333333333338,2.778993055555567,13.808888888888902,6.460092592592602,1.0981693672839725,2010,1
11,New Zealand-Slovakia,-20.0,2.3333333333333286,-6.25,0.0,-4.776515151515149,-30.0,-12.216666666666669,-19.0625,-14.799999999999997,-16.126704545454544,3.258888888888883,-2.6875,1.7266666666666595,-1.8720959595959599,-8.984375,-4.625,-7.353219696969688,0.0,-3.534621212121209,-5.991812586088152,2010,1
12,Ivory Coast-Portugal,-4.0,6.3174603174603305,-1.4464285714285836,-7.309523809523824,-0.8075396825396837,-5.919999999999995,1.6946031746031807,-3.901428571428582,-8.529523809523816,-3.291587301587306,9.414018644494853,3.3935912698412736,-0.5178042328042309,3.6531409045099537,-2.0474713010204226,-6.30183248299322,-1.5457231434240342,-11.40459750566896,-5.552955876795174,-1.087759156903516,2010,1
13,Brazil-North Korea,12.166666666666664,8.166666666666657,13.749999999999993,17.833333333333336,4.1944444444444215,17.013055555555553,14.432685185185171,18.216388888888886,21.319722222222225,10.839259259259237,11.71009259259258,15.632499999999986,18.726759259259246,8.314382716049359,19.44479166666666,22.61277777777778,11.901412037037012,25.947500000000012,14.640648148148124,5.451612654320961,2010,2
14,Honduras-Chile,2.0,-4.62222222222222,-3.433333333333337,-4.24444444444444,1.8071428571428498,2.9199999999999946,-1.8937777777777782,-0.9556666666666658,-1.6742222222222196,2.61847619047618,-6.8429432098765375,-6.12519259259259,-6.433367901234568,-1.6650513227513315,-5.323955555555557,-5.735774074074072,-0.8292615079365149,-6.045032098765432,-1.4704359788359866,2.3479518707482896,2010,0
15,Spain-Switzerland,-3.0,6.863636363636374,4.25,11.666666666666657,1.8333333333333428,-4.409999999999997,2.75772727272728,0.7575000000000003,6.130000000000003,-0.6024999999999991,10.464965564738307,8.653674242424252,14.487929292929287,5.859002525252549,6.704374999999999,12.665833333333325,4.208541666666669,19.01666666666666,9.077500000000008,2.383333333333347,2010,0
16,South Africa-Uruguay,-9.0,-12.666666666666671,-7.590811965811966,-6.717948717948715,-1.8582621082621102,-13.769999999999996,-16.11,-12.419134615384621,-11.676923076923082,-7.212115384615387,-18.071111111111122,-14.720787037037034,-13.993333333333332,-9.475216049382716,-11.153708783055734,-10.449618671926366,-6.249118901733759,-9.759973701512159,-5.672147709840019,-2.3911889158773008,2010,0
17,Argentina-South Korea,14.444444444444443,12.148148148148152,11.194444444444443,9.201058201058203,1.531746031746053,21.02469135802469,19.952674897119344,18.42469135802469,16.899529688418575,10.485890652557337,18.690150891632378,17.25517489711934,15.659155398785032,9.059661963550866,15.93031635802469,14.454291593180486,8.352497795414472,12.998807144256887,7.051357184849266,1.9875012597631994,2010,2
18,Greece-Nigeria,1.0,4.0,10.791666666666657,7.861111111111114,0.8888888888888928,1.4699999999999989,3.6566666666666734,8.58541666666666,6.49527777777778,1.2880555555555588,5.733333333333327,10.348194444444438,8.50324074074075,3.175925925925931,14.105607638888877,12.879085648148141,7.4306365740740645,11.278510802469143,5.627276234567908,1.1283950617283978,2010,2
19,France-Mexico,17.0,-0.6140350877193015,9.28947368421052,4.0,0.6929824561403422,27.03,12.069473684210529,19.799605263157893,16.156666666666673,11.745570175438587,-0.9071560480147767,6.413580332409964,2.4860233918128642,0.10754770698675742,13.567520775623258,10.012017543859649,6.623259464450591,6.106666666666676,3.1630116959064267,0.9126700523237687,2010,0
20,Germany-Serbia,15.0,-2.3333333333333286,13.25,5.333333333333343,4.225396825396842,24.449999999999996,8.723333333333336,22.7425,15.896666666666675,13.65060317460319,-3.30555555555555,7.527499999999996,1.9811111111111188,1.405248677248693,21.100625,14.449166666666677,12.38057142857145,8.213333333333352,6.882677248677261,5.750429730410708,2010,0
21,Slovenia-United States,15.0,4.136363636363626,0.0,-0.7017543859649038,0.390350877192958,24.15,14.23999999999998,11.100000000000001,10.53771929824562,10.159956140350857,6.017155647382907,3.0609090909090853,2.5512147793726783,2.998954013822413,0.0,-0.5192982456140243,0.2888596491227915,-1.0388427208371738,-0.17169052016005537,0.512438250230808,2010,1
22,England-Algeria,-11.0,6.883333333333326,3.1624999999999943,-0.3333333333333286,0.961574074074079,-16.61,-2.82116666666667,-5.715875000000011,-8.153333333333329,-6.461773148148154,10.034752777777769,7.376064583333324,4.701555555555551,5.1987036265432,4.659548437499986,2.0261666666666684,2.774861053240734,-0.47888888888888204,0.47291975308642975,1.2566482145919196,2010,1
23,Netherlands-Japan,13.692307692307693,7.897435897435884,9.721153846153847,3.711538461538453,8.897435897435898,18.937514792899407,15.920197238658766,15.898372781065092,12.387830374753449,14.69481262327416,12.064852071005895,12.71788708086784,8.499682774490445,11.723057199211034,13.029150332840238,9.460012943786978,12.02706977317554,5.32439225838263,8.697343030900718,11.101262327416165,2010,2
24,Ghana-Australia,1.0,1.287878787878796,13.0,-0.3333333333333286,1.2896825396825378,1.4300000000000068,1.604393939393951,10.035000000000004,0.480000000000004,1.562738095238089,1.760686409550054,9.839318181818193,0.6972727272727326,1.7066107503607455,19.239999999999995,9.091666666666669,9.282361111111108,-0.47888888888888204,0.7128835978836037,1.6523801650289727,2010,1
25,Cameroon-Denmark,1.0,8.311111111111103,-1.2999999999999972,6.0,5.879292929292923,1.4699999999999989,6.826888888888881,-0.21699999999999875,5.149999999999999,4.963328282828279,11.938449382716037,5.2040666666666695,10.459555555555546,9.558770931537595,-1.9200999999999908,3.469000000000001,3.507195454545453,8.880000000000003,8.202964646464643,7.549576295786132,2010,0
26,Slovakia-Paraguay,8.0,-2.8148148148148096,3.25,-1.3333333333333286,-1.48737373737373,12.96,3.3259259259259295,8.502499999999998,4.893333333333338,4.06351010101011,-3.9449108367626806,0.21203703703703525,-3.036049382716037,-2.8959184436962104,4.769374999999997,1.4483333333333377,1.0488794191919268,-1.9911111111111026,-1.9886195286195232,-1.9589763799612143,2010,0
27,Italy-New Zealand,23.0,5.333333333333329,6.25,10.0,7.083333333333336,35.19,21.023333333333333,21.3125,25.82,20.11,7.857777777777777,8.4375,11.580000000000005,8.62472222222221,8.984375,12.125,9.083333333333329,15.800000000000004,11.983333333333334,9.048958333333339,2010,1
28,Brazil-Ivory Coast,4.0,-1.8888888888889,7.529761904761912,7.309523809523824,0.1369047619047592,5.919999999999995,1.6711111111111023,8.52476190476191,8.529523809523816,2.781904761904755,-2.898395061728415,4.382652116402113,4.134470899470898,-1.160800264550268,11.116707412131525,11.269888038548771,5.147121952947842,11.40459750566896,5.005270691609979,0.1834931264172397,2010,2
29,Portugal-North Korea,12.166666666666664,3.7380952380952266,7.666666666666664,17.833333333333336,4.865079365079346,17.013055555555553,11.066970899470888,13.593055555555559,21.319722222222225,11.348941798941787,5.194469009826143,7.8562566137565994,15.11009259259258,5.822042076089673,10.375555555555557,17.644722222222228,8.300013227513205,25.947500000000012,15.188333333333318,6.355878684807237,2010,2
30,Chile-Switzerland,-3.0,3.530303030303031,2.5,-2.333333333333343,-0.023809523809518396,-4.409999999999997,0.35772727272728133,-0.5024999999999977,-3.950000000000003,-1.9396428571428501,5.264965564738297,4.6178409090909085,0.8901515151515085,2.2441612554112638,3.8999999999999986,0.04249999999998977,1.5832142857142912,-3.476666666666681,-1.5127380952380918,-0.03051020408162941,2010,2
31,Spain-Honduras,-2.0,7.955555555555563,5.183333333333337,18.24444444444444,0.05000000000001137,-2.9199999999999946,4.293777777777777,2.215666666666664,11.754222222222225,-1.281333333333329,12.042943209876547,10.161025925925934,20.031145679012347,5.279892592592617,8.128330555555557,18.359107407407407,3.4545888888888925,28.53836543209877,12.060674074074086,0.06589166666668689,2010,2
32,Mexico-Uruguay,-10.0,-3.4912280701754383,-8.882309941520461,-1.6666666666666714,0.2358674463937689,-15.200000000000003,-10.24543859649122,-14.032828947368415,-8.783333333333339,-6.359385964912271,-5.301154201292711,-9.28595093362059,-3.8895906432748575,-2.1037171266372496,-12.936681868993865,-7.890248538011704,-5.6360622249865955,-2.505555555555567,-0.912480506822611,0.30845071038004335,2010,0
33,France-South Africa,16.0,8.561403508771932,7.997975708502025,9.051282051282044,2.7871120107962213,25.599999999999994,17.93403508771931,18.1859109311741,19.050256410256416,12.598299595141704,11.862800861803635,11.848416435826408,12.589766081871339,7.479046629732224,11.784547689685127,12.571387677774311,7.236316141197754,13.361084812623268,7.922678898923834,3.612309678581113,2010,0
34,Nigeria-South Korea,7.444444444444443,-1.1851851851851762,-5.597222222222214,1.768518518518519,-1.0833333333333286,10.314691358024689,4.409341563786008,0.7942746913580265,6.207109053497945,3.981882716049384,-1.6654046639231694,-4.676352880658428,0.44940672153636285,-1.5145576131687193,-7.025291280864188,-2.635865483539085,-4.237989969135796,2.367031035665299,0.3992566872428043,-1.3773379629629545,2010,1
35,Greece-Argentina,-6.0,-9.333333333333329,-6.0,0.4285714285714306,-1.7261904761904887,-9.240000000000002,-11.886666666666663,-9.045000000000002,-4.19714285714285,-5.215952380952395,-14.62222222222222,-11.583333333333329,-6.7065079365079185,-7.398293650793654,-8.850000000000001,-4.2110714285714295,-5.159851190476203,0.6467346938775549,-1.0248242630385533,-2.236444160997756,2010,0
36,Slovenia-England,18.0,-1.5303030303030312,-1.25,2.0,0.009259259259252417,28.439999999999998,12.393333333333324,12.445000000000007,14.659999999999997,11.856481481481481,-2.312844352617084,-2.0865909090909085,0.3993434343434359,-1.000381593714927,-1.8656250000000014,0.5841666666666754,-0.8159490740740765,2.906666666666659,1.323302469135804,0.012190500685861139,2010,0
37,United States-Algeria,-8.0,1.2166666666666686,1.9124999999999943,2.368421052631575,0.5804824561403734,-12.32,-4.667833333333327,-4.370875000000005,-4.031052631578952,-4.765247807017531,1.7047527777777773,2.2285645833333305,2.5496842105263084,1.1993680190058598,2.793923437499984,3.129631578947368,1.670052330043866,3.466620498614951,1.967912742382289,0.7564004650469727,2010,2
38,Ghana-Germany,-17.0,-0.6666666666666714,-5.75,-8.0,-5.452380952380963,-27.36999999999999,-12.323333333333338,-18.802500000000002,-19.303333333333335,-15.85269841269843,-0.924444444444454,-4.542499999999997,-6.051111111111119,-4.229867724867738,-9.588125000000005,-11.020833333333336,-8.423293650793667,-12.106666666666662,-9.5202380952381,-7.353357898715053,2010,0
39,Australia-Serbia,-3.0,-4.287878787878796,-5.5,-2.3333333333333286,-2.5166666666666586,-4.350000000000001,-5.2043939393939525,-6.095000000000006,-3.886666666666663,-3.7648333333333284,-5.990686409550058,-6.8543181818181935,-4.767272727272733,-4.53122979797979,-7.727499999999999,-5.663333333333327,-5.325083333333325,-3.4144444444444275,-3.3504444444444417,-3.2553083333333177,2010,2
40,Slovakia-Italy,-3.0,-7.666666666666657,0.0,-10.0,-2.306818181818187,-5.189999999999998,-8.806666666666665,-2.25,-11.020000000000003,-3.9832954545454555,-11.11666666666666,-5.75,-13.306666666666665,-6.752626262626251,0.0,-7.5,-1.7301136363636402,-15.800000000000004,-8.448712121212125,-3.057145747245187,2010,2
41,Paraguay-New Zealand,12.0,0.48148148148148096,3.0,1.3333333333333286,6.263888888888879,17.04,8.890740740740739,10.560000000000002,9.90666666666666,12.063194444444434,0.6860219478737974,2.4754629629629648,1.3093827160493774,4.76801440329217,4.215000000000003,3.1766666666666623,6.3043402777777615,1.9911111111111026,5.523240740740732,7.950788966049366,2010,1
