,match,GK Home,GK Away,FW Home,FW Away,MF Home,MF Away,DF Home,DF Away,backup Home,backup Away,Year,Winner
33,Uruguay-Portugal,81.0,85.0,80.96969696969697,79.51515151515152,75.5,82.0,80.0,81.66666666666667,63.75,70.08333333333333,2018,2
34,Saudi Arabia-Egypt,71.0,70.52631578947368,64.33333333333333,79.0,72.25,74.0,71.66666666666667,72.35087719298245,65.83333333333333,66.79385964912281,2018,2
35,Uruguay-Russia,81.0,80.0,80.96969696969697,68.0,75.5,78.0,80.0,75.8,63.75,72.2,2018,2
36,Iran-Portugal,73.0,85.0,75.33333333333333,79.51515151515152,68.58333333333333,82.0,70.1111111111111,81.66666666666667,63.75,70.08333333333333,2018,1
37,Spain-Morocco,91.0,79.0,83.33333333333333,70.33333333333333,86.5,79.75,88.33333333333333,76.0,72.91666666666667,70.95075757575758,2018,1
38,Australia-Peru,80.0,73.0,72.33333333333333,74.66666666666667,74.5,71.06578947368422,73.66666666666667,72.33333333333333,70.0,65.02192982456141,2018,0
39,Denmark-France,83.0,88.0,78.33333333333333,87.0,76.75,86.25,76.66666666666667,85.33333333333333,69.08333333333333,81.0,2018,1
40,Iceland-Croatia,70.0,82.0,71.66666666666667,84.33333333333333,76.5,85.5,73.0,81.33333333333333,67.08333333333333,75.83333333333333,2018,0
41,Nigeria-Argentina,70.9,80.0,76.66666666666667,88.33333333333333,75.5,81.75,73.66666666666667,81.66666666666667,67.23333333333333,76.04545454545455,2018,0
42,Mexico-Sweden,69.0,78.0,79.0,75.87878787878788,75.0,77.25,77.0,79.33333333333333,65.25,72.0,2018,0
43,South Korea-Germany,65.7,89.0,65.56666666666666,83.66666666666667,67.1,86.25,68.56666666666666,86.33333333333333,64.55000000000001,81.91666666666667,2018,2
44,Serbia-Brazil,79.0,87.0,78.66666666666667,86.66666666666667,82.25,85.5,77.66666666666667,86.66666666666667,71.08333333333333,74.77272727272727,2018,0
45,Switzerland-Costa Rica,84.0,69.0,75.66666666666667,66.33333333333333,79.25,74.0,78.66666666666667,74.33333333333333,74.8531746031746,65.22916666666667,2018,1
46,Japan-Poland,62.66666666666666,86.0,62.66666666666666,82.66666666666667,67.25,76.25,64.88888888888889,79.0,60.58333333333332,71.08333333333333,2018,0
47,Senegal-Colombia,76.0,79.0,81.0,80.0,79.25,77.5,80.33333333333333,80.33333333333333,67.75,65.25,2018,0
48,England-Belgium,83.0,89.0,86.66666666666667,86.0,82.25,85.5,83.0,86.33333333333333,75.08333333333333,78.62301587301587,2018,0
49,Panama-Tunisia,82.0,71.0,70.80392156862744,75.66666666666667,72.35294117647058,66.75,69.47058823529412,73.33333333333333,67.01960784313725,69.2063492063492,2018,0
50,Uruguay-France,81.0,88.0,80.96969696969697,87.0,75.5,86.25,80.0,85.33333333333333,63.75,81.0,2018,0
51,Brazil-Belgium,87.0,89.0,86.66666666666667,86.0,85.5,85.5,86.66666666666667,86.33333333333333,74.77272727272727,78.62301587301587,2018,0
52,Spain-Russia,91.0,80.0,83.33333333333333,68.0,86.5,78.0,88.33333333333333,75.8,72.91666666666667,72.2,2018,1
53,Croatia-Denmark,82.0,83.0,84.33333333333333,78.33333333333333,85.5,76.75,81.33333333333333,76.66666666666667,75.83333333333333,69.08333333333333,2018,1
54,Brazil-Mexico,87.0,69.0,86.66666666666667,79.0,85.5,75.0,86.66666666666667,77.0,74.77272727272727,65.25,2018,2
55,Belgium-Japan,89.0,62.66666666666666,86.0,62.66666666666666,85.5,67.25,86.33333333333333,64.88888888888889,78.62301587301587,60.58333333333332,2018,2
56,Sweden-Switzerland,78.0,84.0,75.87878787878788,75.66666666666667,77.25,79.25,79.33333333333333,78.66666666666667,72.0,74.8531746031746,2018,2
57,Colombia-England,79.0,83.0,80.0,86.66666666666667,77.5,82.25,80.33333333333333,83.0,65.25,75.08333333333333,2018,1
58,Sweden-England,78.0,83.0,75.87878787878788,86.66666666666667,77.25,82.25,79.33333333333333,83.0,72.0,75.08333333333333,2018,0
59,Russia-Croatia,80.0,82.0,68.0,84.33333333333333,78.0,85.5,75.8,81.33333333333333,72.2,75.83333333333333,2018,1
60,France-Croatia,88.0,82.0,87.0,84.33333333333333,86.25,85.5,85.33333333333333,81.33333333333333,81.0,75.83333333333333,2018,2
61,France-Belgium,88.0,89.0,87.0,86.0,86.25,85.5,85.33333333333333,86.33333333333333,81.0,78.62301587301587,2018,2
62,Croatia-England,82.0,83.0,84.33333333333333,86.66666666666667,85.5,82.25,81.33333333333333,83.0,75.83333333333333,75.08333333333333,2018,2
63,Belgium-England,89.0,83.0,86.0,86.66666666666667,85.5,82.25,86.33333333333333,83.0,78.62301587301587,75.08333333333333,2018,2
