,match,GK Home,GK Away,FW Home,FW Away,MF Home,MF Away,DF Home,DF Away,backup Home,backup Away,Year,Winner
18,Greece-Nigeria,74.0,73.0,73.66666666666667,69.66666666666667,70.75,59.95833333333334,75.66666666666667,67.80555555555556,63.916666666666664,63.02777777777777,2010,2
19,France-Mexico,88.0,71.0,73.56140350877193,74.17543859649123,77.67105263157895,68.38157894736842,78.33333333333333,74.33333333333333,66.19736842105263,65.50438596491229,2010,0
20,Germany-Serbia,89.0,74.0,69.66666666666667,72.0,86.25,73.0,79.66666666666667,74.33333333333333,70.15873015873017,65.93333333333332,2010,0
21,Slovenia-United States,88.0,73.0,74.8030303030303,70.66666666666667,74.0,74.0,73.66666666666667,74.36842105263158,65.83333333333333,65.44298245614037,2010,1
22,England-Algeria,70.0,81.0,76.33333333333333,69.45,75.25,72.0875,71.66666666666667,72.0,65.82407407407408,64.8625,2010,1
23,Netherlands-Japan,76.0,62.30769230769231,80.33333333333333,72.43589743589745,71.875,62.15384615384615,73.58333333333333,69.87179487179488,66.83333333333333,57.93589743589743,2010,2
24,Ghana-Australia,72.0,71.0,69.0,67.7121212121212,80.5,67.5,71.66666666666667,72.0,64.7063492063492,63.416666666666664,2010,1
25,Cameroon-Denmark,74.0,73.0,75.97777777777777,67.66666666666667,73.2,74.5,77.0,71.0,67.14444444444445,61.26515151515152,2010,0
26,Slovakia-Paraguay,85.0,77.0,68.66666666666667,71.48148148148148,75.0,71.75,74.0,75.33333333333333,65.10984848484848,66.59722222222221,2010,0
27,Italy-New Zealand,88.0,65.0,76.33333333333333,71.0,75.0,68.75,84.0,74.0,67.41666666666667,60.333333333333336,2010,1
28,Brazil-Ivory Coast,76.0,72.0,75.77777777777777,77.66666666666667,77.58333333333333,70.05357142857142,81.66666666666667,74.35714285714285,67.08333333333333,66.94642857142857,2010,2
29,Portugal-North Korea,76.0,63.833333333333336,71.34920634920634,67.61111111111111,71.5,63.833333333333336,81.66666666666667,63.833333333333336,67.75396825396825,62.88888888888891,2010,2
30,Chile-Switzerland,72.0,75.0,76.33333333333333,72.8030303030303,79.25,76.75,73.33333333333333,75.66666666666667,64.05952380952381,64.08333333333333,2010,2
31,Spain-Honduras,72.0,74.0,79.66666666666667,71.71111111111111,81.0,75.81666666666666,87.33333333333333,69.08888888888889,65.91666666666667,65.86666666666666,2010,2
32,Mexico-Uruguay,71.0,81.0,74.17543859649123,77.66666666666667,68.38157894736842,77.26388888888889,74.33333333333333,76.0,65.50438596491229,65.26851851851852,2010,0
